id	project	Faculty	Countries	Website	Start Date	End Date	desc	Topics	Sponsors	Collaborators	Dept & School
13	Assessing an Innovative Community-based Response to COVID-19 in Rural North Carolina		United States	https://bassconnections.duke.edu/project-teams/assessing-innovative-community-based-response-covid-19-rural-north-carolina-2020-2021	September 2020	Completed	Project team developed local partnerships with the county health department, a local free healthcare clinic, and a COVID-19 community task force (CCTF), and worked with grass-root experts, to research evidence-based methods and improve existing mechanisms  to expand public education and community-driven health efforts. Digital and frugal innovations including telehealth, community health workers and emergency text-message response systems were introduced or researched to further develop a community-based response network and health engagement system.	Health policy and systems,Health care access,Digital health,COVID-19,Non-communicable diseases		Diana Silimperi	
14	Environmental Exposures: Health Outcomes for Minority Owned Auto Repair Shops		United States	https://globalhealth.duke.edu/student-projects/environmental-exposures-health-outcomes-minority-owned-auto-repair-shops	September 2020	Ongoing	Minority owned auto repair shops are abundant in Durham and Wake County, and the practices of the auto workers are similar to auto workers in other low and middle income countries.According to National Institute for Occupational Safety and Health, the death rates among workers in auto repair and auto body shops among African Americans and Hispanics are relatively high compared to whites. In North Carolina, and in Durham, minority-owned auto-mechanics shops located in low-income neighborhoods are likely at risk for adverse health effects.  This project aims to better understand the determinants of risk for heavy metals and potential adverse health outcomes for local auto-repair workers, as well as to provide education and support for remedying negative outcomes.	Environmental health,Equity and inclusion,Health care access		Fred Boadu	
15	Drinking Water Contamination in NC: Water Use, Human Health and Going Beyond GenX	Feng, Liping	United States		July 2019	Ongoing		Environmental health			
16	Southern African Research Consortium for Mental health INTegration (S-MhINT)-Research and capacity building consortium to strengthen mental health integration in South Africa, Mozambique and Tanzania		Tanzania		July 2019	Ongoing	Research Partnerships for Scaling Up Mental Health Interventions in Low- and Middle- Income Countries (U19). Baumgartner is mentoring two trainees in Tanzania on Implementation Science for Mental Health Service Delivery and Policy Development. [PIs: Petersen, Rao and Arvin; University of KwaZulu-Natal]	Health policy and systems,Mental health	NIMH 1U19MH113191		
17	Evaluation of the iMBC/Early Childhood Development model on maternal mental health and child development in Ghana		Ghana		July 2019	Ongoing		Maternal, adolescent and child health,Mental health	Catholic Relief Services	Margaret Lillie,John Gallis	
18	Evaluation of the iMBC/Early Childhood Development model on maternal mental health and child development in Kenya		Kenya		July 2019	Ongoing		Maternal, adolescent and child health,Mental health	Catholic Relief Services	Margaret Lillie, John Gallis	
19	The Impact of Land Use Change on Transmission Potential Networks and Disease Spread in Rural Madagascar	Nunn, Charles,Kramer, Randall	Madagascar		July 2019	Ongoing	Anthropogenic land use alters ecological communities and impacts transmission of infectious diseases, including zoonotic diseases to humans. This project aims to model the transmission pathways for infectious disease in relation to land use and health disparities.  We are collecting ecological and socioeconomic data from different environments in rural Madagascar and assessing transmission correlates using multilayer networks. We are especially interested in identifying the socioeconomic factors that lead some people to be more connected to wildlife and to one another, an area that we term One Health Disparities. We will test whether these networks predict infection with multiple pathogens, including Leptospira, Yersinia, Hantaviruses, Rickettsia, and gastrointestinal helminths.	Infectious diseases,One Health,Social determinants of health	National Institutes of Health	Steven Goodman, Vahatra Association (Madagascar),Voahangy Soarimalala, Vahatra Association (Madagascar),Pablo Tortosa, Institut de recherche pour le développement (IRD, La Réunion),Peter Mucha, University of North Carolina,Hillary Young, University of California, Santa Barbara,Shai Pilosof, Ben Gurion University (Israel)	
20	Identifying Infectious Disease Transmission Pathways for Improved Population Health and Pandemic Preparedness	Nunn, Charles,Kramer, Randall	Madagascar		July 2019	Ongoing	This project is applying novel serological approaches to screen for pathogen exposures in rural Madagascar.  A wide range of zoonotic and non-zoonotic diseases occur in Madagascar, including leptospirosis, and measles.  We are sampling humans, domesticated animals, and introduced and endemic small mammals (rodents and tenrecs) to screen for an array of viral pathogen exposures using VirScan. Throughout, our approach enables us to investigate the roles of mammalian sampling, ecology, and human behavior in predicting disease transmission – all of which are critical elements in identifying “best practices” for pandemic preparedness.	Infectious diseases,One Health,Social determinants of health	Duke University	Steven Goodman, Vahatra Association (Madagascar),Voahangy Soarimalala, Vahatra Association (Madagascar)	
21	Exploring risk for Fetal Alcohol Spectrum Disorder (FASD) in South Africa		South Africa		February 2018	February 2018	PI: Melissa WattCo-PI: Soraya Seedat (Stellenbosch University)Investigator: Kathleen SikkemaFunder: DGHI Pilot Grant, 2015-2016Site: Cape Town, South AfricaAlcohol use during pregnancy is recognized for its deleterious impacts on fetal development and neonatal outcomes, including fetal alcohol spectrum disorders (FASD). The Western Cape Province of South Africa, historically a wine-growing region, has among the highest rates of FASD globally. Reducing the incidence of FASD in the Western Cape requires novel prevention interventions that target individuals at high risk for alcohol-exposed pregnancies. Our research in Cape Town suggests that targeting women who drink in alcohol-serving venues can be a feasible and effective strategy for FASD prevention. One strategy for primary prevention of FASD is the prevention of unintended pregnancies among women who drink at hazardous levels. Among a cohort of 560 women whom we recruited from alcohol-serving venues and followed over 12 months, 20% became pregnant; almost all pregnancies were unintended, and in almost all cases women continued to drink heavily during pregnancy. Developing interventions to reduce unintended pregnancy among women who drink requires a nuanced understanding of their attitudes, social norms, and beliefs that influence contraceptive use, as well as an understanding of the structural and contextual barriers and facilitators that impact their ability to access and use contraceptives effectively. The objective of this DGHI small grant is to understand pregnancy intentions and contraceptive use patterns among women who drink in alcohol-serving venues.This mixed-methods study builds on our history of community-engaged research in South Africa to address the following aims:Aim #1: To quantitatively document factors influencing pregnancy intentions and contraceptive use among women who attend alcohol-serving venues, by conducting cross-sectional surveys of 120 women recruited from four alcohol-serving venues.Aim #2: To qualitatively explore the social norms, barriers, and facilitators that influence consistent and effective use of contraceptives among women who engage in hazardous drinking, by conducting in-depth interviews with 24 women purposively recruited from the survey respondents.Aim #3: To assess available contraceptive options and to identify structural factors that support or obstruct access to contraception, by conducting a structured situational analysis of reproductive health services available in the community.This study is complete. Among 200 women surveyed, almost all met criteria for hazardous drinking. In total, 20.3% of sexually active women were identified as at-risk for an alcohol-exposed pregnancy, and two women were currently pregnant and drinking. A majority of sexually active participants reported consistent use of a modern contraceptive; most contraceptives were short-acting methods such as injectables. Of the 176 participants who reported previous pregnancies, 64.8% said they drank alcohol during a previous pregnancy and 51.1% met criteria for hazardous drinking during that pregnancy. Given the high rates of alcohol consumption during pregnancy, alcohol-serving venues should be targeted for FASD prevention interventions. Efforts should be made to increase uptake of long-acting contraceptives among women who do not wish to get pregnant, and to promote alcohol cessation among women with pregnancy intentions.			Stellenbosch University	
22	Development of Mental Health Treatment for Obstetric Fistula Patients in Tanzania		Tanzania		February 2018	February 2018	PI: Melissa WattCo-investigator: Kathleen J. SikkemaFunder: NICHD, R21, 2013-2015 (Supplementary funding by the Fistula Foundation)Partner: KCMC in Moshi, TanzaniaObstetric fistula is a hole between the bladder and the vagina, which develops when obstructed labor is not relieved by cesarean section and results in uncontrollable leaking of urine and/or feces. The only cure for obstetric fistula is surgical repair, but many women suffer for years without treatment. Multiple studies have documented the social and psychological impact of obstetric fistula, which includes social isolation, stigma, depression, and mental health dysfunction. However, to date no intervention studies have evaluated empirically-supported therapies to assist in psychological healing among fistula patients. The proposed study aims to fill this gap by developing and pilot-testing a theoretically informed mental health intervention for women receiving surgical repair for obstetric fistula at KCMC Hospital in Moshi, Tanzania.The study has three specific aims: 1) To develop the nurse-delivered mental health intervention, built on theories of coping and cognitive behavioral therapy, 2) To assess feasibility and acceptability of implementing the intervention in the KCMC fistula ward, considering: intervention fidelity, patient satisfaction, provider feedback and cost of delivery, 3) To assess effectiveness of the intervention by comparing immediate and short term outcomes in 30 women who receive the experimental intervention with 30 women receiving the standard of care counseling, examining differences in primary outcomes (depression, PTSD and somatic symptoms) and secondary outcomes (coping, perceived stigma, social support, social participation, efficacy to engage with providers, adherence to clinical recommendations and social reintegration).This study is complete. The intervention development process was published in a paper in the journal Evaluation and Program Planning. There, we describe the 6-session individual-level intervention, based on principles of cognitive behavioral therapy and coping theory, that was developed for delivery by a community-health nurse. Intervention outcomes are reported in Pilot and Feasibility Studies. A nurse-delivered mental health intervention was feasible to implement as part of in-patient clinical care and regarded positively. There were sharp and meaningful improvements in mental health outcomes among participants over time, with no evidence of differences by condition.	Health care access,Maternal, adolescent and child health,Mental health	NIH-National Institute of Child Health and Human Development	Kilimanjaro Christian Medical Centre	
23	Identifying opportunities to promote engagement in HIV care following childbirth in South Africa		South Africa		February 2018	Ongoing	PI: Melissa WattCo-PI: John Joska (University of Cape Town)Investigator: Kathleen SikkemaFunder: Duke Center for AIDS Research, 2015-2016Site: Cape Town, South AfricaNearly one in three pregnant women in South Africa is living with HIV. Under the new Option B+ protocol for prevention of mother to child transmission (PMTCT), all pregnant women initiate lifelong antiretroviral therapy (ART). Engagement of women in HIV care following childbirth has proven to be problematic, and may compromise the success of the Option B+ protocol. The goal of the proposed study is to conduct qualitative research to understand the complex array of factors that support or obstruct women's engagement with HIV care in the postpartum period, in order to identify specific intervention targets. The hypothesis is that mental health and social relationships play important roles in shaping long-term care engagement. The study team will first review existing clinic protocols and policies affecting referrals and integration of care across relevant services (antenatal care, birthing and delivery, infant care, and HIV clinics) and conduct 5-10 key informant interviews with providers and administrators at these sites. Second, the study team will conduct repeated in-depth interviews with 20 women who initiated ART during pregnancy. Interviews will be conducted during the last trimester of pregnancy and 3 months postpartum in order to understand the factors that influence how women negotiate engagement in HIV care in the postpartum period. In order to provide broader perspectives on care engagement, women will also be asked to refer a support person for an interview. The qualitative data will be analyzed in an iterative fashion, using a content analytic approach that involves analytic memos, data display matrices, thematic coding, and triangulation across data sources. At the completion of this study, the study will have produced data to inform the development and pilot test of an intervention to support women's continuous engagement in HIV care following childbirth.Data collection concluded in 2017, with analysis of interviews underway.	HIV/AIDS,Maternal, adolescent and child health	NIH-National Institute of Allergy and Infectious Diseases Center for AIDS Research-Duke	University of Cape Town	
24	An Exploration of Community Health Volunteer Characteristics, Motivations, and Experiences in Western Kenya	Huchko, Megan	Kenya		January 2018	Ongoing		Cancer,Health policy and systems,Maternal, adolescent and child health	DGHI Maternal, Adolescent, and Child Health Pilot Grant		
25	An Exploration of Community Health Volunteer Characteristics, Motivations, and Experiences in Western Kenya	Huchko, Megan	Kenya		January 2018	Ongoing		Cancer,Maternal, adolescent and child health,Occupational health	DGHI Maternal, Adolescent, and Child Health Pilot Grant		
26	An Exploration of Community Health Volunteer Characteristics, Motivations, and Experiences in Western Kenya	Huchko, Megan			January 2018	Ongoing			DGHI Maternal, Adolescent, and Child Health Pilot Grant	Rae Jean Proeschold-Bell	
27	Sociobehavioral Sciences Research to Improve Care for HIV Infection in Tanzania		Tanzania,United States		January 2018	Ongoing	PI: John BartlettInvestigator: Kathleen J. SikkemaFunder: Fogarty International Center, D43, 2013-2019Partner: KCMC in Moshi, TanzaniaResponding to Tanzanian National priorities for the prevention of HIV and the care of persons living with HIV, Duke University and the Kilimanjaro Christian Medical Centre (KCMC) developed a Sociobehavioral Sciences (SBS) Core at KCMC focused on HIV/AIDS. SBS research skills are essential for understanding critical issues relating to HIV testing, linkage and retention in care, treatment adherence, and co-morbidities such as mental illness and substance abuse, which relate strongly to clinical outcomes. Their research will expand existing collaborative research efforts under the leadership of the newly developed KCMC SBS Core Team.Given the goal of research independence and creation of a regional training facility for the Team by April 2018, we have developed a plan for team composition which emphasizes robust and complementary SBS research skills. Candidates are receiving PhD training pursuing expertise in epidemiology/public health, health promotion/behavior, psychology, biomedical engineering/rapid diagnostics, and biostatistics; one in medical training for psychiatry. Additional team members will initiate medium- and short-term training to develop expertise in psychiatry, public health aspects of mental illness, nursing, data management and research administration.  All training is conducted in unique model in collaboration with the University of Cape Town (UCT).Strong mentorship is offered by faculty at Duke University, KCMC, and UCT, through their expertise and funded research in SBS aspects of HIV infection. Program administration builds upon the past training successes of the KCMC-Duke collaboration, and future success will be ensured through careful communication, rigorous monitoring and evaluation, and accountability to the Training Advisory Committee and an External Advisory Committee.	HIV/AIDS,Mental health	NIH-Fogarty International Center	Kilimanjaro Christian Medical Centre	
28	Partnership for Enhancing Antimicrobial Use in Resource-Limited Settings (PEARL)	Tillekeratne, L Gayani	Kenya,Sri Lanka,Tanzania		January 2018	Ongoing	The purpose of this project is to determine the prevalence of antibiotic use at tertiary care hospitals in Sri Lanka, Kenya, and Tanzania. Indications for use and inappropriate use will be identified. In addition, a qualitative arm will be performed through interviews of physicians to identify their knowledge and attitudes towards antibiotic resistance and antibiotic prescribing. The ultimate goal of this work is to develop antibiotic stewardship programs within the local settings.	Infectious diseases,Epidemiology			
29	Elderly Health Literacy: A Multi-Country Comparator Study	Moe, Jeffrey	United States		November 2017	Ongoing	The aging of the Chinese population places a significant burden upon its health system. The China health system strategy for elder care relies on the concept of 'subsidiarity': care is provided at the closest immediate level (the patient, patient's family) before seeking additional care at higher levels (community or tertiary care providers and facilities). To implement subsidiarity assumes the elderly have an adequate level of health literacy to provide for their own care or care provided to them by loved ones. Health literacy includes disease prevention, early intervention; treatment approaches, especially for non-communicable diseases (NCD), and rehabilitation nursing. Health education also includes an understanding of medical service systems, schools, community, enterprise or social organizations; and includes the use of mass media and government public health initiatives. The study examines approaches to elderly health literacy found in Japan, Singapore, the United States and the United Kingdom. From those comparator countries best practices and research tested approaches to increase elderly health literacy are identified for consideration by the study sponsors.	Health policy and systems			
30	Immigration Laws and Health	LeGrand, Sara			October 2017	Ongoing	This study will examine the influence of actual and perceived immigration laws on US Latino and Hispanic immigrants' willingness to utilize, and actual utilization of, services for HIV testing and two additional stigmatized conditions of public health significance that are explicitly addressed in US immigration laws - alcohol and drug use disorders (AODD) and intimate partner violence (IPV). Specifically, we will examine how US Latino and Hispanic immigrants' concerns about preserving requisite health, character, and financial standing for US residency and/or their desire to avoid government attention or detection of their own or a loved one's undocumented status, can deter those at risk for HIV infection from seeking HIV testing and seeking services for AODD and IPV, when appropriate. Study participants will be adult, Spanish-speaking, non-citizen (documented and undocumented) Latino Hispanic immigrants to the US living in one of four US metropolitan areas, Chicago and Los Angeles (more welcoming/inclusive immigration policy environments) and Phoenix and Charlotte, NC (more restrictive immigration policy environments). The sample composition in each city will reflect the demographic profile of Hispanic immigrants in each metropolitan area in terms of age, gender, national origin and documentation status. In the first phase of this 3-phase project, in-depth individual and focus group interviews with local key informants and immigrant residents will highlight actual and perceived legal barriers and facilitators for HIV testing and utilization of services for alcohol and drug use disorders and intimate partner violence in each metropolitan area. These legal barriers and facilitators will be examined during subsequent legal analysis, both for their congruence with participants' understandings of the laws and policies and for comparison of legal environments across project sites. In Phase 2, of the study, Phase 1 findings will be used to refine and expand a novel measure of immigration law concerns which will then undergo rigorous review by key informants and project advisors. In Phase 3 of the study, the resultant measure will serve as the primary independent variable in a quantitative analysis of the relationship between Latino and Hispanic immigrants' immigration law-related concerns and their willingness to utilize, and actual utilization of, when appropriate, services for HIV testing, AODD and IPV. Samples of 400 Latino and Hispanic immigrants in each metropolitan area will complete the survey via ACASI. Findings from the proposed study will provide important evidence for intervention, whether at the individual-level, through efforts to correct deleterious misconceptions of laws, at the community-level, through the development of more effective public health strategies to reach immigrant groups, and at the structural-level by shaping laws, polices, and procedures that support the goals of our National HIV Prevention Strategy.Immigration-related laws and importantly, immigrants' perceptions of these laws, can encourage, deter, or even prevent immigrants from engaging in important public health behaviors including being tested for HIV infection and seeking services for conditions that may increase one's risk of contracting HIV. The proposed study will examine the influence of actual and perceived immigration-related laws and policies on US Hispanic and Latino immigrants' willingness to be tested for HIV and to utilize services for two additional, legally-regulated and stigmatized public health priorities: alcohol and drug use disorders and intimate partner violence. Findings from the proposed study will provide important evidence for intervention, whether at the individual-level, through efforts to correct deleterious misconceptions of laws, at the community-level, through the development of more effective public health strategies to reach immigrant groups, and at the structural-level by shaping laws, polices, and procedures that support the goals of our National HIV Prevention Strategy.	Health care access,Health policy and systems,HIV/AIDS,Substance use	NIH-National Institute of Mental Health	Medical College of Wisconsin	
